RoleId;UserId
4;31201
4;31203
4;31204
4;31246
4;31267
4;31271
4;31277
4;31282
4;31289
4;31322
4;31339
4;31354
4;31398
4;31416
4;31498
4;31506
4;31519
4;31526
4;31535
4;31591
4;31725
4;31750
4;31762
4;31773
4;16111
4;16113
4;31848
4;31871
4;7522
4;7767
4;8066
4;13916
4;14012
4;31913
4;31918
4;31935
4;31946
4;32026
4;32032
4;5786
4;7637
4;8266
4;8274
4;8276
4;8292
4;10250
4;13737
4;13865
4;13880
4;13890
4;14004
4;14005
4;14006
4;14076
4;32135
4;32144
4;21130
4;32156
4;32161
4;32183
4;10128
4;10130
4;10131
4;10134
4;10135
4;10136
4;10263
4;10265
4;10269
4;32194
4;32203
4;32204
4;32205
4;32214
4;32215
4;32217
4;32230
4;7433
4;7532
4;7534
4;9872
4;10498
4;10503
4;32284
4;32288
4;32295
4;7384
4;7737
4;7792
4;8792
4;9896
4;10490
4;13739
4;14050
4;14074
4;32321
4;32327
4;32367
4;32368
4;32441
4;32442
4;32450
4;32473
4;32486
4;32499
4;25583
4;22743
4;32575
4;7554
4;8185
4;9133
4;13988
4;30654
4;7471
4;7810
4;8915
4;13577
4;13725
4;13884
4;10846
4;32759
4;32769
4;32775
4;32800
4;32850
4;32871
4;32893
4;32941
4;32945
4;32958
4;32959
4;32963
4;32966
4;32968
4;33016
4;33017
4;33023
4;33110
4;33169
4;33231
4;7389
4;9808
4;33245
4;33246
4;63
4;102
4;412
4;783
4;1670
4;3529
4;4592
4;7258
4;7545
4;7596
4;7618
4;7659
4;7668
4;7669
4;7670
4;7672
4;7840
4;7994
4;8084
4;8097
4;8098
4;8099
4;8141
4;8189
4;8191
4;8197
4;8242
4;8253
4;10275
4;10303
4;10344
4;10373
4;10382
4;10383
4;12765
4;12792
4;13027
4;13183
4;13668
4;13697
4;13744
4;13766
4;13771
4;13911
4;13922
4;13939
4;13961
4;13992
4;13999
4;14017
4;14018
4;14021
4;14022
4;14057
4;14410
4;14463
4;34161
4;34169
4;34171
4;34176
4;34181
4;34188
4;34196
4;34226
4;34250
4;34287
4;34297
4;34313
4;34400
4;34482
4;34483
4;34484
4;34486
