UserId;RoleId
23390;4
21838;4
21840;4
21853;4
12771;4
12772;4
12808;4
12813;4
12883;4
12958;4
13047;4
13423;4
13441;59
13450;4
13500;4
13534;4
13592;4
13615;4
13624;4
13668;71
13771;347
13812;4
13814;4
13816;4
13880;67
13884;139
14004;347
14018;201
14025;115
14179;18
14182;18
14186;18
14192;18
14194;18
14221;4
14228;4
14322;4
14328;18
21943;385
20994;4
21013;18
21022;18
23223;4
23272;18
23029;385
21069;4
21076;4
21077;4
21081;4
21084;4
21093;4
14497;242
14497;18
14500;4
23034;385
23323;385
23325;18
14509;18
21104;18
14530;4
14531;18
14554;18
14555;18
14556;18
14558;18
14561;18
14605;4
14621;4
21366;385
21641;4
14655;294
14657;100
21171;4
21174;4
21186;385
21204;385
22355;18
14681;18
21215;385
21219;385
21224;385
21226;385
21228;385
21229;385
21230;385
21231;385
21233;385
21234;385
21238;385
21241;385
21244;385
21245;385
21246;385
21247;385
21248;385
21249;385
21250;385
21251;385
21253;385
21254;385
21255;385
21261;385
21262;385
21263;385
22359;18
14703;18
14705;375
14705;18
14713;18
21339;18
21340;385
21343;385
21367;385
21369;385
21370;385
21372;385
21375;385
21376;385
21377;385
21379;385
21380;385
21381;385
21406;4
14731;166
14731;18
14738;4
14751;4
21431;385
21434;385
21435;4
21442;385
21452;385
21462;385
14769;18
14774;18
14778;4
14801;4
21481;18
21482;18
21483;18
21483;177
14889;18
21486;385
21487;385
21489;385
21492;385
21494;385
21497;385
21501;385
21502;385
21503;385
21505;385
21509;385
21510;385
21511;385
21512;385
21513;385
21514;385
21516;385
21519;385
21520;385
21521;385
21523;385
21524;385
21527;385
21528;18
21529;385
21530;385
21531;385
21533;385
21539;385
21541;385
21544;385
21547;385
21549;385
21550;385
21552;385
21555;385
21556;385
21557;385
21585;4
21600;18
14898;18
21719;385
21721;385
22526;18
21627;18
21728;385
21644;4
14981;4
14999;18
15001;18
21730;4
21741;18
15006;201
15006;4
15009;18
15016;202
15016;4
15017;18
21750;385
15020;18
15023;18
15026;18
15027;18
15031;18
15032;18
15036;18
15042;18
15052;4
15056;18
15064;18
15066;4
15070;166
15070;18
15091;385
15123;18
15127;18
15134;18
15142;4
22697;4
15168;18
15169;18
15172;248
15172;18
15174;4
15186;4
15192;4
15195;4
15198;4
15199;4
15202;18
15204;4
15210;4
15211;4
15214;4
15217;4
15219;4
15224;4
15242;4
15252;4
15264;4
22980;18
22094;18
22095;385
22096;18
22098;385
22100;18
22101;18
22103;18
22104;18
22106;385
22111;385
22113;18
22114;18
22120;385
22121;18
22124;385
22125;18
22128;18
22129;18
