id_user;id_permission
303;10437
18;10560
303;10560
18;13470
188;13470
18;13532
18;5744
18;13530
18;13531
18;3025
874;3025
863;3025
863;3025
345;4648
675;4648
300;4648
345;2644
675;2644
300;2644
345;510
675;510
300;510
345;5721
675;5721
300;5721
345;4138
675;4138
300;4138
18;5716
89;2636
863;2636
863;5816
863;5476
863;5446
863;5482
863;5573
863;5460
863;5489
863;5449
863;5453
863;5461
863;5457
863;5570
675;5816
675;5476
675;5446
675;5573
675;5460
675;5453
675;5533
675;5480
863;5476
863;5446
863;5554
863;5573
863;5460
863;5489
863;5449
863;5453
863;5533
863;5418
863;5480
863;5527
863;5428
863;5431
863;5409
863;5571
863;5481
