Testovac’ data (z firmy);;Vùstup algoritmu;
id_user;id_permission;id_user;id_permission
736;19874;;
736;22856;;
846;229;;
846;546;;
846;548;;
846;2269;;
846;2525;;
846;2526;;
846;2527;;
846;5421;;
846;5444;;
846;5446;;
846;5449;;
846;5453;;
846;5476;;
846;5533;;
846;5573;;
846;5816;;
850;166;;
850;5712;;
850;5742;;
850;5744;;
850;5748;;
850;16387;;
850;16597;;
850;16598;;
850;16599;;
850;16923;;
858;546;;
858;5446;;
858;5476;;
858;5785;;
858;5816;;
858;8805;;
858;15802;;
858;16565;;
858;16571;;
863;11;;
863;221;;
863;229;;
863;443;;
863;546;;
863;548;;
863;557;;
863;571;;
863;609;;
863;1637;;
863;1639;;
863;1729;;
863;2269;;
863;2361;;
863;2525;;
863;2526;;
863;2527;;
863;2636;;
863;2945;;
863;2982;;
863;3646;;
863;4488;;
863;4535;;
863;4648;;
863;4731;;
863;4926;;
863;5096;;
863;5271;;
863;5406;;
863;5416;;
863;5418;;
863;5421;;
863;5428;;
863;5444;;
863;5446;;
863;5449;;
863;5453;;
863;5457;;
863;5461;;
863;5474;;
863;5475;;
863;5476;;
863;5482;;
863;5489;;
863;5512;;
863;5514;;
863;5529;;
863;5532;;
863;5533;;
863;5543;;
863;5548;;
863;5551;;
863;5554;;
863;5563;;
863;5564;;
863;5573;;
863;5599;;
863;5604;;
863;5711;;
863;5712;;
863;5716;;
863;5719;;
863;5721;;
863;5723;;
863;5726;;
863;5742;;
863;5744;;
863;5746;;
863;5748;;
863;5752;;
863;5785;;
863;5816;;
863;6874;;
863;6875;;
863;6876;;
863;7001;;
863;7004;;
863;7033;;
863;7036;;
863;7039;;
863;7078;;
863;7087;;
863;7095;;
863;7097;;
863;7106;;
863;7115;;
863;8171;;
863;8805;;
863;9363;;
863;9366;;
863;10408;;
863;10442;;
863;10503;;
863;12674;;
863;13139;;
863;13408;;
863;14963;;
863;15289;;
863;15307;;
863;15743;;
863;15787;;
863;15863;;
863;16276;;
863;16283;;
863;16726;;
863;17329;;
863;17334;;
863;19403;;
863;19597;;
863;20381;;
863;21579;;
863;22444;;
863;22856;;
863;23172;;
874;228;;
874;232;;
874;452;;
874;542;;
874;546;;
874;1662;;
874;1944;;
874;1961;;
874;2264;;
874;2269;;
874;2278;;
874;2279;;
874;2294;;
874;2363;;
874;2366;;
874;2491;;
874;2603;;
874;2921;;
874;2945;;
874;2982;;
874;3025;;
874;3861;;
874;4519;;
874;4816;;
874;4819;;
874;5096;;
874;5421;;
874;5425;;
874;5444;;
874;5446;;
874;5449;;
874;5453;;
874;5476;;
874;5482;;
874;5512;;
874;5533;;
874;5539;;
874;5545;;
874;5549;;
874;5554;;
874;5573;;
874;5599;;
874;5659;;
874;5726;;
874;5742;;
874;5744;;
874;5748;;
874;5785;;
874;5816;;
874;5818;;
874;6769;;
874;6931;;
874;7036;;
874;7413;;
874;9363;;
874;13222;;
874;15894;;
874;16116;;
874;16387;;
874;16402;;
874;16446;;
874;16479;;
874;16548;;
874;16622;;
874;17334;;
874;17681;;
